"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,15,99998,99925,-73
2015-05-14,11,99925,99896,-29
2015-05-15,15,99896,99848,-48
2015-05-19,10,99848,99951,103
2015-05-20,14,99951,99922,-29
2015-05-21,9,99922,99880,-42
2015-05-22,13,99880,99837,-43
2015-05-25,8,99837,99822,-15
2015-05-26,15,99822,99838,16
2015-05-27,16,99838,99766,-72
2015-05-28,12,99766,99944,178
2015-05-29,15,99944,99992,48
2015-06-01,10,99992,100062,70
2015-06-02,14,100062,100052,-10
2015-06-03,14,100052,100016,-36
2015-06-04,12,100016,100019,3
2015-06-05,12,100019,99970,-49
2015-06-08,17,99970,99940,-30
2015-06-09,15,99940,99956,16
2015-06-10,14,99956,99957,1
2015-06-11,12,99957,99882,-75
2015-06-12,16,99882,99856,-26
2015-06-15,15,99856,99766,-90
2015-06-16,18,99766,99712,-54
2015-06-17,21,99712,99583,-129
2015-06-18,18,99583,99525,-58
2015-06-19,15,99525,99459,-66
2015-06-22,13,99459,99463,4
2015-06-23,15,99463,99473,10
2015-06-24,12,99473,99529,56
2015-06-25,14,99529,99511,-18
2015-06-26,12,99511,99481,-30
2015-06-29,15,99481,99455,-26
2015-06-30,16,99455,99362,-93
2015-07-02,13,99362,99373,11
2015-07-03,13,99373,99340,-33
2015-07-06,15,99340,99306,-34
2015-07-07,11,99306,99341,35
2015-07-08,13,99341,99308,-33
2015-07-09,9,99308,99350,42
2015-07-10,11,99350,99336,-14
2015-07-13,16,99336,99308,-28
2015-07-14,15,99308,99286,-22
2015-07-15,12,99286,99333,47
2015-07-16,10,99333,99331,-2
2015-07-17,12,99331,99356,25
2015-07-20,13,99356,99329,-27
2015-07-21,16,99329,99307,-22
2015-07-22,15,99307,99275,-32
2015-07-23,15,99275,99227,-48
2015-07-24,16,99227,99216,-11
2015-07-27,17,99216,99173,-43
2015-07-28,14,99173,99129,-44
2015-07-29,11,99129,99155,26
2015-07-30,15,99155,99144,-11
2015-07-31,12,99144,99183,39
2015-08-04,16,99183,99115,-68
2015-08-05,13,99115,99088,-27
2015-08-06,15,99088,99061,-27
2015-08-07,12,99061,99125,64
2015-08-10,9,99125,99109,-16
2015-08-11,14,99109,99111,2
2015-08-12,12,99111,99099,-12
2015-08-13,15,99099,99081,-18
2015-08-14,11,99081,99095,14
2015-08-17,14,99095,99087,-8
2015-08-18,13,99087,99122,35
2015-08-19,18,99122,99108,-14
2015-08-20,18,99108,99092,-16
2015-08-21,16,99092,99011,-81
2015-08-24,15,99011,98935,-76
2015-08-25,19,98935,98918,-17
2015-08-26,12,98918,98933,15
2015-08-27,19,98933,98679,-254
2015-08-28,18,98679,98655,-24
2015-08-31,13,98655,98631,-24
2015-09-01,15,98631,98640,9
2015-09-02,14,98640,98681,41
2015-09-03,13,98681,98699,18
2015-09-04,14,98699,98707,8
2015-09-08,13,98707,98632,-75
2015-09-09,13,98632,98639,7
2015-09-10,17,98639,98563,-76
2015-09-11,12,98563,98539,-24
2015-09-14,17,98539,98468,-71
2015-09-15,14,98468,98464,-4
2015-09-16,11,98464,98512,48
2015-09-17,12,98512,98505,-7
2015-09-18,16,98505,98455,-50
2015-09-21,14,98455,98400,-55
2015-09-22,15,98400,98449,49
2015-09-23,16,98449,98434,-15
2015-09-24,19,98434,98301,-133
2015-09-25,17,98301,98232,-69
2015-09-28,16,98232,98118,-114
2015-09-29,18,98118,98042,-76
2015-09-30,17,98042,98023,-19
2015-10-01,11,98023,98097,74
2015-10-02,13,98097,98138,41
2015-10-05,17,98138,98033,-105
2015-10-06,15,98033,97993,-40
2015-10-07,17,97993,97905,-88
2015-10-08,15,97905,97858,-47
2015-10-09,14,97858,97825,-33
2015-10-13,14,97825,97814,-11
2015-10-14,11,97814,97843,29
2015-10-15,13,97843,97817,-26
2015-10-16,16,97817,97783,-34
2015-10-19,19,97783,97656,-127
2015-10-20,15,97656,97589,-67
2015-10-21,17,97589,97559,-30
2015-10-22,17,97559,97501,-58
2015-10-23,15,97501,97447,-54
2015-10-26,15,97447,97369,-78
2015-10-27,17,97369,97311,-58
2015-10-28,14,97311,97320,9
2015-10-29,14,97320,97292,-28
2015-10-30,15,97292,97340,48
2015-11-02,14,97340,97364,24
2015-11-03,21,97364,97242,-122
2015-11-04,15,97242,97170,-72
2015-11-05,15,97170,97128,-42
2015-11-06,10,97128,97205,77
2015-11-09,13,97205,97233,28
2015-11-10,15,97233,97146,-87
2015-11-11,13,97146,97132,-14
2015-11-12,12,97132,97095,-37
2015-11-13,15,97095,96992,-103
2015-11-16,16,96992,96940,-52
2015-11-17,15,96940,96959,19
2015-11-18,14,96959,96948,-11
2015-11-19,14,96948,96961,13
2015-11-20,18,96961,96896,-65
2015-11-23,11,96896,96918,22
