"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,30,100013,99975,-38
2015-05-14,24,99975,99931,-44
2015-05-15,24,99931,99903,-28
2015-05-19,24,99903,99964,61
2015-05-20,29,99964,99845,-119
2015-05-21,29,99845,99730,-115
2015-05-22,33,99730,99642,-88
2015-05-25,27,99642,99522,-120
2015-05-26,28,99522,99575,53
2015-05-27,26,99575,99576,1
2015-05-28,31,99576,99688,112
2015-05-29,34,99688,99577,-111
2015-06-01,33,99577,99526,-51
2015-06-02,33,99526,99454,-72
2015-06-03,30,99454,99374,-80
2015-06-04,26,99374,99405,31
2015-06-05,25,99405,99443,38
2015-06-08,29,99443,99344,-99
2015-06-09,28,99344,99282,-62
2015-06-10,30,99282,99224,-58
2015-06-11,23,99224,99156,-68
2015-06-12,27,99156,99069,-87
2015-06-15,39,99069,98909,-160
2015-06-16,32,98909,98754,-155
2015-06-17,30,98754,98619,-135
2015-06-18,36,98619,98506,-113
2015-06-19,26,98506,98400,-106
2015-06-22,23,98400,98394,-6
2015-06-23,36,98394,98279,-115
2015-06-24,23,98279,98267,-12
2015-06-25,27,98267,98166,-101
2015-06-26,27,98166,98116,-50
2015-06-29,26,98116,98067,-49
2015-06-30,25,98067,98041,-26
2015-07-02,27,98041,98017,-24
2015-07-03,25,98017,97934,-83
2015-07-06,28,97934,97926,-8
2015-07-07,30,97926,97926,0
2015-07-08,30,97926,97845,-81
2015-07-09,28,97845,97796,-49
2015-07-10,29,97796,97720,-76
2015-07-13,24,97720,97695,-25
2015-07-14,29,97695,97676,-19
2015-07-15,31,97676,97624,-52
2015-07-16,28,97624,97589,-35
2015-07-17,28,97589,97585,-4
2015-07-20,30,97585,97560,-25
2015-07-21,27,97560,97496,-64
2015-07-22,26,97496,97388,-108
2015-07-23,27,97388,97340,-48
2015-07-24,26,97340,97308,-32
2015-07-27,25,97308,97251,-57
2015-07-28,27,97251,97346,95
2015-07-29,32,97346,97201,-145
2015-07-30,23,97201,97227,26
2015-07-31,24,97227,97240,13
2015-08-04,28,97240,97190,-50
2015-08-05,25,97190,97166,-24
2015-08-06,24,97166,97279,113
2015-08-07,23,97279,97239,-40
2015-08-10,20,97239,97224,-15
2015-08-11,29,97224,97156,-68
2015-08-12,29,97156,97069,-87
2015-08-13,25,97069,97042,-27
2015-08-14,25,97042,97001,-41
2015-08-17,30,97001,96968,-33
2015-08-18,32,96968,96876,-92
2015-08-19,29,96876,96808,-68
2015-08-20,31,96808,96725,-83
2015-08-21,29,96725,96658,-67
2015-08-24,37,96658,96383,-275
2015-08-25,38,96383,96246,-137
2015-08-26,35,96246,96253,7
2015-08-27,32,96253,96193,-60
2015-08-28,35,96193,96151,-42
2015-08-31,37,96151,95892,-259
2015-09-01,34,95892,95847,-45
2015-09-02,29,95847,95781,-66
2015-09-03,29,95781,95786,5
2015-09-04,26,95786,95748,-38
2015-09-08,33,95748,95656,-92
2015-09-09,36,95656,95570,-86
2015-09-10,29,95570,95555,-15
2015-09-11,29,95555,95518,-37
2015-09-14,34,95518,95451,-67
2015-09-15,29,95451,95396,-55
2015-09-16,30,95396,95372,-24
2015-09-17,30,95372,95166,-206
2015-09-18,34,95166,94992,-174
2015-09-21,32,94992,94968,-24
2015-09-22,30,94968,94948,-20
2015-09-23,33,94948,94809,-139
2015-09-24,27,94809,94756,-53
2015-09-25,27,94756,94738,-18
2015-09-28,31,94738,94668,-70
2015-09-29,34,94668,94595,-73
2015-09-30,33,94595,94610,15
2015-10-01,31,94610,94671,61
2015-10-02,21,94671,94807,136
2015-10-05,33,94807,94732,-75
2015-10-06,25,94732,94692,-40
2015-10-07,29,94692,94681,-11
2015-10-08,30,94681,94612,-69
2015-10-09,26,94612,94641,29
2015-10-13,33,94641,94591,-50
2015-10-14,31,94591,94568,-23
2015-10-15,26,94568,94559,-9
2015-10-16,31,94559,94491,-68
2015-10-19,33,94491,94373,-118
2015-10-20,32,94373,94277,-96
2015-10-21,31,94277,94205,-72
2015-10-22,25,94205,94152,-53
2015-10-23,31,94152,94114,-38
2015-10-26,29,94114,94025,-89
2015-10-27,29,94025,94030,5
2015-10-28,30,94030,94010,-20
2015-10-29,29,94010,93991,-19
2015-10-30,32,93991,93912,-79
2015-11-02,33,93912,93840,-72
2015-11-03,28,93840,93797,-43
2015-11-04,29,93797,93775,-22
2015-11-05,27,93775,93744,-31
2015-11-06,28,93744,93787,43
2015-11-09,32,93787,93754,-33
2015-11-10,35,93754,93658,-96
2015-11-11,34,93658,93548,-110
2015-11-12,29,93548,93543,-5
2015-11-13,22,93543,93517,-26
2015-11-16,29,93517,93447,-70
2015-11-17,33,93447,93343,-104
2015-11-18,28,93343,93300,-43
2015-11-19,24,93300,93283,-17
2015-11-20,28,93283,93252,-31
2015-11-23,23,93252,93283,31
