"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,3,99997,100003,6
2015-05-14,4,100003,99990,-13
2015-05-15,5,99990,99966,-24
2015-05-19,5,99966,99888,-78
2015-05-20,4,99888,99890,2
2015-05-21,2,99890,99925,35
2015-05-22,3,99925,99960,35
2015-05-25,3,99960,99951,-9
2015-05-26,4,99951,100034,83
2015-05-27,3,100034,100079,45
2015-05-28,4,100079,100187,108
2015-05-29,3,100187,100189,2
2015-06-01,4,100189,100211,22
2015-06-02,3,100211,100254,43
2015-06-03,6,100254,100221,-33
2015-06-04,7,100221,100233,12
2015-06-05,5,100233,100188,-45
2015-06-08,6,100188,100149,-39
2015-06-09,2,100149,100160,11
2015-06-10,3,100160,100190,30
2015-06-11,3,100190,100163,-27
2015-06-12,5,100163,100184,21
2015-06-15,4,100184,100199,15
2015-06-16,3,100199,100186,-13
2015-06-17,5,100186,100088,-98
2015-06-18,5,100088,100019,-69
2015-06-19,4,100019,99997,-22
2015-06-22,3,99997,100007,10
2015-06-23,3,100007,100031,24
2015-06-24,5,100031,99965,-66
2015-06-25,2,99965,100014,49
2015-06-26,3,100014,100008,-6
2015-06-29,3,100008,100030,22
2015-06-30,6,100030,99944,-86
2015-07-02,5,99944,99906,-38
2015-07-03,3,99906,99870,-36
2015-07-06,4,99870,99902,32
2015-07-07,3,99902,100034,132
2015-07-08,6,100034,99978,-56
2015-07-09,6,99978,99935,-43
2015-07-10,3,99935,99957,22
2015-07-13,4,99957,99924,-33
2015-07-14,5,99924,99937,13
2015-07-15,4,99937,99918,-19
2015-07-16,3,99918,99900,-18
2015-07-17,4,99900,99908,8
2015-07-20,5,99908,99929,21
2015-07-21,4,99929,99936,7
2015-07-22,5,99936,99914,-22
2015-07-23,4,99914,99871,-43
2015-07-24,6,99871,99822,-49
2015-07-27,4,99822,99793,-29
2015-07-28,4,99793,99837,44
2015-07-29,3,99837,99900,63
2015-07-30,5,99900,99849,-51
2015-07-31,5,99849,99813,-36
2015-08-04,4,99813,99832,19
2015-08-05,6,99832,99835,3
2015-08-06,6,99835,99733,-102
2015-08-07,4,99733,99806,73
2015-08-10,2,99806,99826,20
2015-08-11,5,99826,99829,3
2015-08-12,5,99829,99846,17
2015-08-13,5,99846,99791,-55
2015-08-14,4,99791,99812,21
2015-08-17,5,99812,99779,-33
2015-08-18,4,99779,99741,-38
2015-08-19,4,99741,99801,60
2015-08-20,6,99801,99766,-35
2015-08-21,5,99766,99789,23
2015-08-24,5,99789,99754,-35
2015-08-25,7,99754,99535,-219
2015-08-26,5,99535,99676,141
2015-08-27,6,99676,99894,218
2015-08-28,3,99894,99933,39
2015-08-31,3,99933,99953,20
2015-09-01,6,99953,99875,-78
2015-09-02,5,99875,99733,-142
2015-09-03,6,99733,99677,-56
2015-09-04,6,99677,99659,-18
2015-09-08,5,99659,99611,-48
2015-09-09,5,99611,99570,-41
2015-09-10,3,99570,99601,31
2015-09-11,4,99601,99597,-4
2015-09-14,3,99597,99628,31
2015-09-15,5,99628,99576,-52
2015-09-16,3,99576,99700,124
2015-09-17,4,99700,99678,-22
2015-09-18,3,99678,99709,31
2015-09-21,4,99709,99715,6
2015-09-22,4,99715,99769,54
2015-09-23,6,99769,99753,-16
2015-09-24,5,99753,99729,-24
2015-09-25,4,99729,99690,-39
2015-09-28,4,99690,99668,-22
2015-09-29,6,99668,99674,6
2015-09-30,3,99674,99753,79
2015-10-01,6,99753,99690,-63
2015-10-02,6,99690,99541,-149
2015-10-05,3,99541,99569,28
2015-10-06,4,99569,99521,-48
2015-10-07,3,99521,99535,14
2015-10-08,4,99535,99530,-5
2015-10-09,5,99530,99464,-66
2015-10-13,6,99464,99417,-47
2015-10-14,6,99417,99292,-125
2015-10-15,4,99292,99259,-33
2015-10-16,3,99259,99237,-22
2015-10-19,6,99237,99203,-34
2015-10-20,4,99203,99237,34
2015-10-21,4,99237,99264,27
2015-10-22,4,99264,99263,-1
2015-10-23,5,99263,99256,-7
2015-10-26,3,99256,99236,-20
2015-10-27,4,99236,99256,20
2015-10-28,2,99256,99327,71
2015-10-29,4,99327,99372,45
2015-10-30,3,99372,99353,-19
2015-11-02,5,99353,99381,28
2015-11-03,4,99381,99314,-67
2015-11-04,6,99314,99303,-11
2015-11-05,2,99303,99293,-10
2015-11-06,5,99293,99335,42
2015-11-09,4,99335,99385,50
2015-11-10,2,99385,99429,44
2015-11-11,5,99429,99421,-8
2015-11-12,3,99421,99411,-10
2015-11-13,3,99411,99375,-36
2015-11-16,4,99375,99425,50
2015-11-17,5,99425,99433,8
2015-11-18,6,99433,99432,-1
2015-11-19,5,99432,99429,-3
2015-11-20,5,99429,99354,-75
2015-11-23,4,99354,99371,17
