"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,9,99998,99979,-19
2015-05-14,4,99979,99956,-23
2015-05-15,6,99956,99924,-32
2015-05-19,3,99924,99921,-3
2015-05-20,2,99921,99959,38
2015-05-21,4,99959,99949,-10
2015-05-22,1,99949,99948,-1
2015-05-25,1,99948,99950,2
2015-05-26,1,99950,99997,47
2015-05-27,9,99997,100012,15
2015-05-28,9,100012,99940,-72
2015-05-29,6,99940,99955,15
2015-06-01,7,99955,99972,17
2015-06-02,4,99972,99944,-28
2015-06-03,5,99944,99969,25
2015-06-04,1,99969,100016,47
2015-06-05,1,100016,100017,1
2015-06-08,4,100017,100061,44
2015-06-09,6,100061,99982,-79
2015-06-10,4,99982,99986,4
2015-06-11,1,99986,100042,56
2015-06-12,4,100042,99998,-44
2015-06-15,1,99998,99927,-71
2015-06-16,4,99927,99875,-52
2015-06-17,2,99875,99910,35
2015-06-18,1,99910,99891,-19
2015-06-19,4,99891,99906,15
2015-06-22,4,99906,99905,-1
2015-06-23,4,99905,99861,-44
2015-06-24,3,99861,99906,45
2015-06-25,1,99906,99894,-12
2015-06-26,1,99894,99896,2
2015-06-29,4,99896,99937,41
2015-06-30,8,99937,99874,-63
2015-07-02,5,99874,99795,-79
2015-07-03,1,99795,99799,4
2015-07-06,6,99799,99804,5
2015-07-07,4,99804,99779,-25
2015-07-08,2,99779,99790,11
2015-07-09,1,99790,99867,77
2015-07-10,1,99867,99828,-39
2015-07-13,1,99828,99854,26
2015-07-14,4,99854,99800,-54
2015-07-15,4,99800,99761,-39
2015-07-16,1,99761,99801,40
2015-07-17,4,99801,99789,-12
2015-07-20,5,99789,99841,52
2015-07-21,9,99841,99817,-24
2015-07-22,4,99817,99799,-18
2015-07-23,3,99799,99779,-20
2015-07-24,1,99779,99803,24
2015-07-27,7,99803,99856,53
2015-07-28,7,99856,99777,-79
2015-07-29,7,99777,99771,-6
2015-07-30,4,99771,99714,-57
2015-07-31,3,99714,99739,25
2015-08-04,3,99739,99734,-5
2015-08-05,1,99734,99725,-9
2015-08-06,7,99725,99770,45
2015-08-07,1,99770,99828,58
2015-08-10,6,99828,99835,7
2015-08-11,6,99835,99751,-84
2015-08-12,8,99751,99730,-21
2015-08-13,3,99730,99786,56
2015-08-14,1,99786,99741,-45
2015-08-17,10,99741,99710,-31
2015-08-18,3,99710,99674,-36
2015-08-19,1,99674,99646,-28
2015-08-20,6,99646,99606,-40
2015-08-21,4,99606,99658,52
2015-08-24,6,99658,99986,328
2015-08-25,3,99986,100088,102
2015-08-26,3,100088,100133,45
2015-08-27,6,100133,100103,-30
2015-08-28,1,100103,100059,-44
2015-08-31,3,100059,99976,-83
2015-09-01,1,99976,100011,35
2015-09-02,7,100011,100017,6
2015-09-03,4,100017,100029,12
2015-09-04,9,100029,100041,12
2015-09-08,4,100041,100014,-27
2015-09-09,6,100014,100074,60
2015-09-10,4,100074,100032,-42
2015-09-11,4,100032,100045,13
2015-09-14,3,100045,100110,65
2015-09-15,3,100110,100050,-60
2015-09-16,6,100050,99971,-79
2015-09-17,4,99971,99894,-77
2015-09-18,1,99894,99883,-11
2015-09-21,4,99883,99914,31
2015-09-22,1,99914,99913,-1
2015-09-23,4,99913,99982,69
2015-09-24,5,99982,99967,-15
2015-09-25,1,99967,99975,8
2015-09-28,4,99975,99976,1
2015-09-29,4,99976,99895,-81
2015-09-30,1,99895,99769,-126
2015-10-01,3,99769,99730,-39
2015-10-02,4,99730,99735,5
2015-10-05,3,99735,99758,23
2015-10-06,9,99758,99753,-5
2015-10-07,1,99753,99745,-8
2015-10-08,3,99745,99731,-14
2015-10-09,5,99731,99817,86
2015-10-13,1,99817,99802,-15
2015-10-14,4,99802,99849,47
2015-10-15,4,99849,99885,36
2015-10-16,3,99885,99878,-7
2015-10-19,1,99878,99885,7
2015-10-20,5,99885,99939,54
2015-10-21,2,99939,99974,35
2015-10-22,3,99974,99950,-24
2015-10-23,3,99950,99921,-29
2015-10-26,3,99921,99948,27
2015-10-27,1,99948,99935,-13
2015-10-28,4,99935,99894,-41
2015-10-29,1,99894,99886,-8
2015-10-30,1,99886,99990,104
2015-11-02,3,99990,99944,-46
2015-11-03,3,99944,99979,35
2015-11-04,6,99979,99979,0
2015-11-05,9,99979,99867,-112
2015-11-06,6,99867,99855,-12
2015-11-09,1,99855,99864,9
2015-11-10,4,99864,99824,-40
2015-11-11,4,99824,99794,-30
2015-11-12,3,99794,99849,55
2015-11-13,9,99849,99765,-84
2015-11-16,6,99765,99700,-65
2015-11-17,1,99700,99684,-16
2015-11-18,4,99684,99696,12
2015-11-19,1,99696,99628,-68
2015-11-20,1,99628,99635,7
2015-11-23,2,99635,99603,-32
