"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-05-13,3,99999,100002,3
2015-05-14,4,100002,99995,-7
2015-05-15,6,99995,99964,-31
2015-05-19,6,99964,99872,-92
2015-05-20,5,99872,99911,39
2015-05-21,2,99911,99947,36
2015-05-22,5,99947,99972,25
2015-05-25,3,99972,99968,-4
2015-05-26,5,99968,100040,72
2015-05-27,4,100040,100123,83
2015-05-28,4,100123,100231,108
2015-05-29,3,100231,100246,15
2015-06-01,4,100246,100321,75
2015-06-02,6,100321,100349,28
2015-06-03,4,100349,100338,-11
2015-06-04,6,100338,100360,22
2015-06-05,5,100360,100313,-47
2015-06-08,6,100313,100297,-16
2015-06-09,3,100297,100321,24
2015-06-10,4,100321,100363,42
2015-06-11,4,100363,100336,-27
2015-06-12,4,100336,100356,20
2015-06-15,7,100356,100335,-21
2015-06-16,4,100335,100305,-30
2015-06-17,6,100305,100281,-24
2015-06-18,7,100281,100213,-68
2015-06-19,4,100213,100180,-33
2015-06-22,4,100180,100177,-3
2015-06-23,4,100177,100215,38
2015-06-24,3,100215,100227,12
2015-06-25,3,100227,100277,50
2015-06-26,3,100277,100290,13
2015-06-29,5,100290,100329,39
2015-06-30,6,100329,100226,-103
2015-07-02,7,100226,100200,-26
2015-07-03,5,100200,100163,-37
2015-07-06,4,100163,100182,19
2015-07-07,3,100182,100279,97
2015-07-08,6,100279,100224,-55
2015-07-09,6,100224,100170,-54
2015-07-10,5,100170,100152,-18
2015-07-13,6,100152,100140,-12
2015-07-14,6,100140,100139,-1
2015-07-15,5,100139,100100,-39
2015-07-16,4,100100,100095,-5
2015-07-17,5,100095,100086,-9
2015-07-20,5,100086,100063,-23
2015-07-21,6,100063,100045,-18
2015-07-22,4,100045,100025,-20
2015-07-23,5,100025,99948,-77
2015-07-24,6,99948,99921,-27
2015-07-27,4,99921,99909,-12
2015-07-28,4,99909,99964,55
2015-07-29,3,99964,100027,63
2015-07-30,6,100027,99967,-60
2015-07-31,5,99967,99961,-6
2015-08-04,4,99961,99980,19
2015-08-05,5,99980,99932,-48
2015-08-06,6,99932,99826,-106
2015-08-07,5,99826,99884,58
2015-08-10,4,99884,99868,-16
2015-08-11,4,99868,99860,-8
2015-08-12,5,99860,99879,19
2015-08-13,4,99879,99834,-45
2015-08-14,5,99834,99854,20
2015-08-17,6,99854,99815,-39
2015-08-18,6,99815,99738,-77
2015-08-19,4,99738,99797,59
2015-08-20,6,99797,99768,-29
2015-08-21,5,99768,99791,23
2015-08-24,7,99791,99750,-41
2015-08-25,8,99750,99543,-207
2015-08-26,6,99543,99667,124
2015-08-27,7,99667,99863,196
2015-08-28,4,99863,99876,13
2015-08-31,3,99876,99863,-13
2015-09-01,6,99863,99794,-69
2015-09-02,5,99794,99679,-115
2015-09-03,9,99679,99633,-46
2015-09-04,5,99633,99620,-13
2015-09-08,5,99620,99588,-32
2015-09-09,5,99588,99563,-25
2015-09-10,4,99563,99531,-32
2015-09-11,3,99531,99538,7
2015-09-14,5,99538,99551,13
2015-09-15,5,99551,99499,-52
2015-09-16,2,99499,99620,121
2015-09-17,4,99620,99603,-17
2015-09-18,4,99603,99620,17
2015-09-21,5,99620,99609,-11
2015-09-22,4,99609,99652,43
2015-09-23,5,99652,99676,24
2015-09-24,5,99676,99616,-60
2015-09-25,6,99616,99542,-74
2015-09-28,6,99542,99507,-35
2015-09-29,7,99507,99448,-59
2015-09-30,5,99448,99522,74
2015-10-01,6,99522,99459,-63
2015-10-02,5,99459,99335,-124
2015-10-05,5,99335,99369,34
2015-10-06,5,99369,99341,-28
2015-10-07,4,99341,99355,14
2015-10-08,4,99355,99395,40
2015-10-09,4,99395,99353,-42
2015-10-13,6,99353,99290,-63
2015-10-14,6,99290,99155,-135
2015-10-15,6,99155,99141,-14
2015-10-16,5,99141,99106,-35
2015-10-19,7,99106,99087,-19
2015-10-20,4,99087,99132,45
2015-10-21,4,99132,99146,14
2015-10-22,4,99146,99145,-1
2015-10-23,5,99145,99121,-24
2015-10-26,4,99121,99095,-26
2015-10-27,5,99095,99096,1
2015-10-28,3,99096,99177,81
2015-10-29,5,99177,99193,16
2015-10-30,4,99193,99185,-8
2015-11-02,5,99185,99188,3
2015-11-03,4,99188,99116,-72
2015-11-04,7,99116,99110,-6
2015-11-05,4,99110,99084,-26
2015-11-06,5,99084,99149,65
2015-11-09,3,99149,99203,54
2015-11-10,6,99203,99222,19
2015-11-11,4,99222,99191,-31
2015-11-12,4,99191,99201,10
2015-11-13,2,99201,99206,5
2015-11-16,5,99206,99258,52
2015-11-17,4,99258,99256,-2
2015-11-18,3,99256,99292,36
2015-11-19,7,99292,99252,-40
2015-11-20,6,99252,99196,-56
2015-11-23,5,99196,99176,-20
